BEGINDATE;CLOSED;CLOSEDATE;COMPANY_ID;ID;OPPORTUNITY;PROBABILITY
2014-05-27T03:00:00+04:00;Y;2014-06-03T03:00:00+04:00;813;897;150000.00;100
2014-07-29T03:00:00+04:00;Y;2014-07-29T03:00:00+04:00;813;1173;1150.00;0
2014-08-03T03:00:00+04:00;Y;2014-08-03T03:00:00+04:00;813;1185;7600.00;0
2014-08-06T03:00:00+04:00;Y;2014-08-13T03:00:00+04:00;813;1209;332500.00;0
2014-08-19T03:00:00+04:00;Y;2014-08-26T03:00:00+04:00;813;1283;250000.00;0
2014-09-14T03:00:00+04:00;Y;2014-09-21T03:00:00+04:00;813;1475;865000.00;50
2014-08-19T03:00:00+04:00;Y;2014-08-26T03:00:00+04:00;813;1663;1050.00;0
2014-08-19T03:00:00+04:00;Y;2014-08-26T03:00:00+04:00;813;1665;3800.00;0
2014-05-27T03:00:00+04:00;Y;2014-06-03T03:00:00+04:00;813;1667;7450.00;100
2014-05-27T03:00:00+04:00;Y;2014-06-03T03:00:00+04:00;813;1669;292550.00;100
2014-05-07T03:00:00+04:00;Y;2014-05-14T03:00:00+04:00;813;1671;69650.00;0
2014-05-07T03:00:00+04:00;Y;2014-05-14T03:00:00+04:00;813;1673;159406.00;0
2014-12-09T03:00:00+03:00;Y;2015-01-13T03:00:00+03:00;813;1769;10000.00;100
2015-01-16T03:00:00+03:00;Y;2015-04-02T03:00:00+03:00;813;1961;40600.00;50
2015-02-09T03:00:00+03:00;Y;2015-08-29T03:00:00+03:00;813;2133;48300.00;0
2015-02-16T03:00:00+03:00;Y;2015-04-02T03:00:00+03:00;813;2179;127000.00;0
2015-06-19T03:00:00+03:00;Y;2015-07-09T03:00:00+03:00;813;3637;14718.00;0
2015-07-09T03:00:00+03:00;Y;2015-11-01T03:00:00+03:00;813;3723;15950.00;0
2015-07-21T03:00:00+03:00;Y;2016-03-31T03:00:00+03:00;813;3767;56050.00;0
2015-11-16T03:00:00+03:00;Y;2018-02-13T03:00:00+03:00;813;5922;12100.00;100
2015-11-25T03:00:00+03:00;Y;2018-02-13T03:00:00+03:00;813;6084;37400.00;0
2015-11-25T03:00:00+03:00;Y;2018-02-13T03:00:00+03:00;813;6086;16500.00;0
2015-12-01T03:00:00+03:00;Y;2018-02-13T03:00:00+03:00;813;6408;0.00;0
2015-12-01T03:00:00+03:00;Y;2018-02-13T03:00:00+03:00;813;6410;12100.00;0
2016-02-05T03:00:00+03:00;Y;2017-04-09T03:00:00+03:00;813;6710;138600.00;0
2016-02-05T03:00:00+03:00;Y;2017-04-09T03:00:00+03:00;813;6834;33660.00;0
2016-02-05T03:00:00+03:00;Y;2016-04-02T03:00:00+03:00;813;6840;0.00;0
2016-03-21T03:00:00+03:00;Y;2017-04-09T03:00:00+03:00;813;6952;900.00;0
2016-03-29T03:00:00+03:00;Y;2017-04-09T03:00:00+03:00;813;6998;52850.00;0
2016-03-29T03:00:00+03:00;Y;2016-04-13T03:00:00+03:00;813;7052;0.00;0
2016-04-08T03:00:00+03:00;Y;2016-04-11T03:00:00+03:00;813;7342;0.00;0
